epoch,train_mse_scaled,val_rmse_mgdl
1,0.22052256023455966,24.163272252563374
2,0.14169685253043576,23.17275019875852
3,0.1342725506107701,22.97577810030745
4,0.13144149529830654,22.69359197039022
5,0.1291529344265709,22.90519424712888
6,0.12793077539541933,22.430418636942008
7,0.1259675207225108,22.471828193632394
8,0.12478724221634392,22.37968025650964
9,0.12374286814638884,22.6769785183564
10,0.12326643243432045,22.510630776988588
11,0.12193199359618201,22.66164087276864
12,0.12156734752035377,22.17705815873169
13,0.12042595049606102,22.310712109093934
14,0.12055283261112648,22.084633014135026
15,0.12001420406274277,22.194312427745036
16,0.1194255826533726,22.22072286414316
17,0.11897032615719455,22.17063617833414
18,0.11869855723021054,22.15867881545786
19,0.11817668518512556,22.182428031706227
20,0.11778481037236087,22.180816782125635
21,0.11741154395633994,22.0667869086622
22,0.11779256707223335,22.05694825415529
23,0.11717354886160039,22.32353164969432
24,0.11739241990196232,22.082301886669487
25,0.11691713344195101,22.261715921374147
26,0.11684463278270595,22.09424209054915
27,0.11651080621793719,22.246387775001956
28,0.11648057415933892,22.13831987828434
29,0.11604260367405887,22.23266587104007
30,0.11578315736191107,22.097609186325744
31,0.11621391269756426,22.273828798034444
32,0.11539247702106391,22.192938381740316
