epoch,train_mse_scaled,val_rmse_mgdl
1,0.4191155400127172,37.996824638035015
2,0.34036632023751734,36.69951538319153
3,0.323127179145813,36.176086465567934
4,0.3154586023837328,36.02321713580491
5,0.3092224079743028,36.09647991857967
6,0.30461265463382003,35.413682825067426
7,0.3017081231996417,35.37832611903684
8,0.29763911936432125,35.31932951478088
9,0.29635371156036855,35.48333099198501
10,0.29293155055493114,35.27278136599242
11,0.2914119067043066,35.119095786694
12,0.2891227788105607,35.36720208445338
13,0.2862484946474433,35.62751896142169
14,0.2840770575031638,35.302810046711286
15,0.2824335818365216,35.416719570006414
16,0.2810757653415203,35.51745880887519
17,0.2788088142871857,35.719095802592804
18,0.2768470988050103,35.62028929452439
19,0.27504896122962236,35.54742140343799
20,0.27315580263733863,35.71897361238557
21,0.2718009754270315,35.4301181141311
