horizon_min,cohort,n_patients,n_seeds,n_improved,mean_delta_rmse,delta_seed_mean,delta_seed_std,improved_per_seed
30,all,12,5,11,-0.47154319966459335,-0.47154319966459346,0.09692481997549865,"12,8,10,12,11"
30,2018,6,5,5,-0.3268298205135392,-0.32682982051354015,0.15257839998084818,"6,3,4,6,5"
30,2020,6,5,6,-0.6162565788156474,-0.6162565788156467,0.08804774405496345,"6,5,6,6,6"
60,all,12,5,9,-0.8720009806384225,-0.8720009806384231,0.14096002311621134,"9,10,9,9,10"
60,2018,6,5,3,-0.3082840706083599,-0.30828407060836016,0.25373728683201346,"3,4,3,3,4"
60,2020,6,5,6,-1.435717890668485,-1.4357178906684864,0.11758102018233581,"6,6,6,6,6"
