epoch,train_mse_scaled,val_rmse_mgdl
1,0.2244143471638165,24.354833608616968
2,0.1439782908499831,23.045012087408704
3,0.13426172716709056,22.861277861258852
4,0.1316036642298545,22.642042832604325
5,0.12914590537548065,22.509979566352378
6,0.12724880184424986,22.558836805976696
7,0.12496509568968622,22.428368800867887
8,0.12324905290388234,23.17542049964214
9,0.12323503343775721,22.297550052231003
10,0.1219220132299579,22.205013690360175
11,0.1210597861595083,22.175910696815205
12,0.12088565072874621,22.204036285410695
13,0.12033016502045758,22.186287410473525
14,0.1196356357656198,22.102385322950262
15,0.11949083304936343,22.20855923312132
16,0.11928857715413121,22.122720708335724
17,0.11885176646975007,22.198183487533623
18,0.1186510858928213,22.10995973587802
19,0.1185887526573226,22.33245255742351
20,0.11809164844453335,22.211281084451556
21,0.11779503087227297,22.034303224052866
22,0.1176812879851844,22.123622449639218
23,0.11724762672023607,22.142908591983225
24,0.11742078402254841,22.357213388787535
25,0.11674426136409292,22.567387604653884
26,0.11697101580108156,22.24530235802449
27,0.11636697838433308,22.21746886229345
28,0.11618345669738137,22.295153247234566
29,0.11596308512115243,22.1912229904439
30,0.11561349067505043,22.156667085597043
31,0.11576747663761719,22.36331872368317
