model,horizon_min,n_patients,rmse_mean,rmse_std,mae_mean,mae_std,published_bglp_rmse
persistence,30,12,23.40389619392199,2.9089095958767794,16.96270789466119,2.072718252283056,
linear (k=6),30,12,27.33139662308893,4.0519613750179415,18.512032281682217,2.4754678315326393,
ridge (alpha=10),30,12,20.229232499863368,2.350474400984078,14.482054944310674,1.5388550022190237,
persistence,60,12,38.444669007147944,4.785336608351468,28.52535806282285,3.512904161654284,
linear (k=6),60,12,55.32436799458447,7.923659050043022,38.62053040733033,5.507983811662144,
ridge (alpha=10),60,12,34.22281937677501,3.732755595156813,25.755001376071917,2.8823680905453966,
